sender_status,rows,positives,TP,FP,FN,alerts,precision,recall,alert_rate
known_in_train,1037890.0,731.0,234.0,114.0,497.0,348.0,0.6724137931034483,0.320109439124487,0.00033529564790102997
new_to_train,1212.0,20.0,6.0,1.0,14.0,7.0,0.8571428571428571,0.3,0.005775577557755775
